ptid,polyid,acres,perim_m,lat,lon,date,outdate,parentid,parentac,name,tundra,maritime,boreal,BERING_TAI,ALEUTIAN_M,ALASKA_RAN,ARCTIC_TUN,COASTAL_RA,PACIFIC_MO,INTERMONTA,COAST_MOUN,BERING_TUN,FID_1,acres_1
17260,9888,8462.375,39437,66.657076,-148.040941,6/27/1990,9/15/1990,684,287704,32018,0,0,34245900,0,0,0,0,0,0,34245900,0,0,9888,8462.375
17384,9891,1.164,458,66.62497,-146.64317,6/27/1990,9/15/1990,684,287704,32018,0,0,4500,0,0,0,0,0,0,4500,0,0,9891,1.164
17395,9898,4.017,1390,66.650614,-147.151711,6/27/1990,9/15/1990,684,287704,32018,0,0,16200,0,0,0,0,0,0,16200,0,0,9898,4.017
17328,9899,5995.027,32474,66.6635,-147.944321,6/27/1990,9/15/1990,684,287704,32018,0,0,24267600,0,0,0,0,0,0,24267600,0,0,9899,5995.027
17466,9919,8.839,1129,66.632515,-146.53123,6/27/1990,9/15/1990,684,287704,32018,0,0,35100,0,0,0,0,0,0,35100,0,0,9919,8.839
17499,9951,333.807,7093,66.660374,-147.092101,6/27/1990,9/15/1990,684,287704,32018,0,0,1347300,0,0,0,0,0,0,1347300,0,0,9951,333.807
17460,9956,1134.284,14807,66.64297,-146.783695,6/27/1990,9/15/1990,684,287704,32018,0,0,4592700,0,0,0,0,0,0,4592700,0,0,9956,1134.284
17535,9957,354.082,8413,66.641395,-146.536997,6/27/1990,9/15/1990,684,287704,32018,0,0,1440000,0,0,0,0,0,0,1440000,0,0,9957,354.082
17569,9964,34.947,1747,66.65249,-146.512466,6/27/1990,9/15/1990,684,287704,32018,0,0,142200,0,0,0,0,0,0,142200,0,0,9964,34.947
17584,9965,2.874,557,66.653731,-146.501656,6/27/1990,9/15/1990,684,287704,32018,0,0,11700,0,0,0,0,0,0,11700,0,0,9965,2.874
17549,9993,1288.973,15906,66.689017,-147.587042,6/27/1990,9/15/1990,684,287704,32018,0,0,5207400,0,0,0,0,0,0,5207400,0,0,9993,1288.973
17610,9999,9689.426,51014,66.662621,-146.550673,6/27/1990,9/15/1990,684,287704,32018,0,0,39223800,0,0,0,0,0,0,39223800,0,0,9999,9689.426
17652,10003,73.465,2687,66.698367,-146.934621,6/27/1990,9/15/1990,684,287704,32018,0,0,299700,0,0,0,0,0,0,299700,0,0,10003,73.465
17473,10011,3055.057,25799,66.663731,-147.24795,6/27/1990,9/15/1990,684,287704,32018,0,0,12370500,0,0,0,0,0,0,12370500,0,0,10011,3055.057
17662,10012,336.937,6409,66.677852,-146.378363,6/27/1990,9/15/1990,684,287704,32018,0,0,1357200,0,0,0,0,0,0,1357200,0,0,10012,336.937
17703,10032,474.841,7547,66.688738,-146.355705,6/27/1990,9/15/1990,684,287704,32018,0,0,1921500,0,0,0,0,0,0,1921500,0,0,10032,474.841
17695,10035,659.278,11016,66.68604,-146.316618,6/27/1990,9/15/1990,684,287704,32018,0,0,2668500,0,0,0,0,0,0,2668500,0,0,10035,659.278
17743,10054,3080.407,42668,66.742243,-147.304002,6/27/1990,9/15/1990,684,287704,32018,0,0,12492900,0,0,0,0,0,0,12492900,0,0,10054,3080.407
17750,10057,314.074,4940,66.721452,-146.568495,6/27/1990,9/15/1990,684,287704,32018,0,0,1272600,0,0,0,0,0,0,1272600,0,0,10057,314.074
