FID,FID_prior_,FireName,FireYear,CalcAcres,DiscDate,parentid,FID_curr_f,FireName_1,FireYear_1,CalcAcre_1,DiscDate_1,parentid_1,pairid,ac,perim_m
3089,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Sandless Lake,2013,59869.000000000000000,6/25/2013 0:00:00,1789,1041,59791.540000000001000,197370.850000000010000
3090,1,Bearpaw,2009,16585.599999999999000,7/12/2009 0:00:00,313,1,Sandless Lake,2013,59869.000000000000000,6/25/2013 0:00:00,1789,1041,77.709999999999994,5988.199999999999800
3091,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,UpperWestFork,1999,35776.000000000000000,6/12/1999 0:00:00,1639,1042,34690.529999999999000,65415.050000000003000
3092,1,60 MILE BUTTE,1990,1085.400000000000100,7/4/1990 0:00:00,1507,1,UpperWestFork,1999,35776.000000000000000,6/12/1999 0:00:00,1639,1042,1085.440000000000100,9161.100000000000400
3093,1,132241,1991,89427.600000000006000,6/9/1991 0:00:00,1292,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1043,89405.669999999998000,113220.850000000010000
3094,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Our Creek,2015,30736.799999999999000,6/23/2015 0:00:00,2004,1043,30714.889999999999000,104391.090000000000000
3095,1,132241,1991,89427.600000000006000,6/9/1991 0:00:00,1292,1,Our Creek,2015,30736.799999999999000,6/23/2015 0:00:00,2004,1043,21.940000000000001,1392.480000000000000
3096,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1044,1037.819999999999900,19739.540000000001000
3097,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1044,21556.119999999999000,99738.710000000006000
3098,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1044,6489.069999999999700,35817.440000000002000
3099,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1045,1037.819999999999900,19739.540000000001000
3100,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1045,21556.119999999999000,99738.710000000006000
3101,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1045,6489.069999999999700,35817.440000000002000
3102,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1046,1037.819999999999900,19739.540000000001000
3103,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1046,21556.119999999999000,99738.710000000006000
3104,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1046,6489.069999999999700,35817.440000000002000
3105,1,Bearpaw,2009,16585.599999999999000,7/12/2009 0:00:00,313,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1047,16508.040000000001000,86641.449999999997000
3106,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Sandless Lake,2013,59869.000000000000000,6/25/2013 0:00:00,1789,1047,59791.540000000001000,197370.850000000010000
