FID,name,year,acres,date,parentid
1701,FOSSIL RIDGE,1957,2233.5,6/10/1957 0:00,1701
1702,SUNSHINE MT.,1957,13115.5,6/10/1957 0:00,1702
1703,BTT S 49,1994,8283.1,6/8/1994 0:00,1703
1704,WILSON,1968,2962.7,7/22/1968 0:00,1704
1705,HOLIKACHUK,1957,430966.5,6/11/1957 0:00,1705
1706,BLAIR LAKES #2,1957,1452.2,6/11/1957 0:00,1706
1707,Su River,2007,8489.9,6/20/2007 0:00,1707
1708,BETHEL 1/2S,1957,2290.8,7/12/1957 0:00,1708
1709,BLEAK SPOT,1968,1527.4,7/9/1968 0:00,1709
1710,NIX,1969,26675.1,6/29/1969 0:00,1710
1711,Mile 245 ARR,1943,3484.2,5/14/1943 0:00,1711
1712,132460,1991,75207.3,6/26/1991 0:00,1712
1713,CANOE MTN.,1990,16452.8,7/23/1990 0:00,1713
1714,EIGHT MILE,1990,12660.3,7/24/1990 0:00,1714
1715,Iliamna Lake,1943,5999.1,6/19/1943 0:00,1715
1716,Nowitna #3,1953,99379.2,6/19/1953 0:00,1716
1717,BTT SW 53,1990,27858.3,7/19/1990 0:00,1717
1718,VICTORIA CREEK,1957,9395.5,6/27/1957 0:00,1718
1719,TOLOVANA SW-20,1957,3890.6,7/2/1957 0:00,1719
1720,WOOD RIVER BUTTES W-10,1957,12764.9,7/6/1957 0:00,1720
1721,ROLLING CREEK #1,1957,152363.2,7/6/1957 0:00,1721
1722,Discovery South,2008,3496.3,7/6/2008 0:00,1722
1723,John River,2008,1660.5,7/8/2008 0:00,1723
1724,Prospect Creek,2008,1685.1,7/9/2008 0:00,1724
1725,Paldo,2007,4605.4,6/2/2007 0:00,1725
1726,Mt.Terrel,1999,11670.7,6/12/1999 0:00,1726
1727,WEST FORK,1998,6731.6,6/30/1998 0:00,1727
1728,MHM NW 42,1995,1237.3,5/12/1995 0:00,1728
1729,Holtnakatna Creek,2005,194015.4,7/25/2005 0:00,1729
1730,FYU W 46,1975,73072.7,7/13/1975 0:00,1730
1731,Three Lakes,2008,35280.6,6/3/2008 0:00,1731
1732,Erickson Creek,2003,117156.7,6/17/2003 0:00,1732
1733,LOMAN,1972,4141.8,7/15/1972 0:00,1733
1734,JOHNHANSEN LAKE,1968,7526.9,8/9/1968 0:00,1734
1735,CAMELBACK,1985,3736.1,8/1/1985 0:00,1735
1736,FISH CREEK #1,1957,39461.8,6/12/1957 0:00,1736
1737,KOYUKUK,1973,11945.2,7/1/1973 0:00,1737
1738,OUR,1968,5406.5,7/24/1968 0:00,1738
1739,OK OK LAKE,1971,8583.7,7/12/1971 0:00,1739
1740,SLAM,1972,12891.8,7/11/1972 0:00,1740
1741,BUCKLAND,1970,11722.2,7/4/1970 0:00,1741
1742,MEANDER,1970,3786.1,7/4/1970 0:00,1742
1743,TANGO CREEK,2000,28906.2,6/25/2000 0:00,1743
1744,MT HURST N-10,1959,3099.3,6/22/1959 0:00,1744
1745,POIGNANT,1972,5630.1,7/14/1972 0:00,1745
1746,BEAVER MT #2,1957,2886.5,6/29/1957 0:00,1746
